ID,Gender_Code,Region,Income,Spending
563,Male,Urban,44,5
564,Male,Urban,35,9
565,Female,Urban,35,15
566,Female,Rural,16,5
567,Female,Urban,27,16
568,Female,Rural,20,8
569,Male,Rural,9,7
570,Female,Rural,15,13
571,Male,Urban,25,19
572,Female,Rural,5,9
573,Female,Rural,7,7
574,Female,Urban,40,19
575,Female,Rural,15,6
576,Male,Urban,29,9
577,Female,Urban,47,18
578,Female,Urban,31,18
579,Male,Urban,35,15
580,Female,Urban,45,18
581,Female,Rural,18,15
582,Female,Rural,12,18
583,Female,Urban,37,11
584,Male,Rural,7,9
585,Male,Rural,16,14
586,Female,Rural,6,10
587,Female,Urban,25,12
588,Female,Urban,46,11
589,Male,Rural,13,8
590,Male,Urban,34,5
591,Male,Rural,17,9
592,Male,Rural,20,19
593,Male,Rural,21,11
594,Male,Urban,40,9
595,Male,Urban,39,19
596,Male,Urban,37,9
597,Female,Urban,39,8
598,Male,Urban,33,5
599,Female,Rural,6,6
600,Female,Urban,29,10
601,Female,Rural,23,5
602,Female,Urban,40,17
603,Male,Rural,13,5
604,Female,Urban,43,18
605,Male,Urban,46,16
606,Female,Urban,27,8
607,Female,Rural,25,19
608,Male,Rural,12,10
609,Male,Urban,26,6
610,Female,Rural,15,12
611,Male,Urban,46,14
612,Male,Rural,21,10
613,Male,Urban,26,20
614,Female,Rural,13,8
615,Male,Rural,16,17
616,Female,Rural,21,9
617,Female,Urban,50,8
618,Male,Rural,21,9
619,Male,Rural,24,17
620,Female,Urban,30,13
621,Male,Urban,49,20
622,Female,Rural,9,6
623,Female,Rural,18,19
624,Female,Urban,26,14
625,Female,Urban,45,18
626,Female,Urban,36,9
627,Female,Urban,30,10
628,Female,Urban,39,7
629,Female,Rural,18,16
630,Male,Urban,28,10
631,Female,Rural,20,17
632,Male,Rural,17,16
633,Male,Rural,14,10
634,Female,Rural,25,18
635,Female,Rural,24,15
636,Male,Urban,43,6
637,Female,Rural,25,9
638,Male,Rural,9,5
639,Male,Rural,14,5
640,Female,Urban,44,5
641,Female,Urban,47,7
642,Male,Urban,47,9
643,Female,Rural,11,16
644,Male,Rural,19,17
645,Male,Urban,49,14
646,Female,Urban,44,11
647,Female,Rural,16,10
648,Male,Rural,10,7
649,Female,Rural,22,9
650,Male,Urban,32,10
651,Female,Urban,29,6
652,Male,Urban,49,6
653,Male,Urban,41,10
654,Male,Urban,36,6
655,Male,Urban,32,17
656,Female,Rural,7,6
657,Male,Urban,49,17
658,Female,Rural,5,9
659,Male,Urban,47,10
660,Female,Urban,25,18
661,Female,Rural,5,9
662,Male,Urban,44,20
663,Female,Rural,8,7
664,Female,Urban,50,13
665,Female,Rural,6,18
666,Male,Urban,38,9
667,Male,Rural,12,5
668,Male,Urban,26,5
669,Female,Urban,38,10
670,Male,Urban,42,18
671,Female,Urban,28,16
672,Male,Rural,8,14
673,Female,Urban,33,8
674,Male,Rural,14,7
675,Male,Urban,50,8
676,Male,Urban,34,11
677,Male,Rural,7,11
678,Male,Rural,20,10
679,Male,Rural,21,17
680,Female,Urban,50,18
681,Female,Urban,50,11
682,Male,Rural,9,19
683,Female,Rural,12,9
684,Male,Urban,42,9
685,Female,Urban,35,15
686,Female,Urban,25,13
687,Female,Rural,23,8
688,Female,Rural,7,13
689,Female,Rural,16,17
690,Male,Urban,30,11
691,Male,Urban,48,19
692,Male,Urban,31,7
693,Male,Urban,38,7
694,Female,Rural,20,6
695,Female,Urban,26,12
696,Female,Urban,37,10
697,Male,Rural,15,6
698,Male,Rural,8,19
699,Male,Urban,29,19
700,Male,Rural,8,7
701,Female,Rural,10,5
702,Female,Rural,14,17
703,Female,Urban,42,15
704,Male,Rural,21,15
705,Female,Rural,9,6
706,Female,Rural,12,13
707,Female,Rural,16,13
708,Female,Rural,11,19
709,Male,Rural,8,7
710,Female,Urban,27,6
711,Female,Rural,17,10
712,Female,Urban,29,18
713,Male,Rural,18,5
714,Female,Urban,36,17
715,Male,Rural,22,6
716,Female,Rural,20,5
717,Male,Rural,14,12
718,Male,Rural,12,15
719,Male,Rural,23,11
720,Female,Rural,20,14
721,Male,Urban,25,9
722,Male,Rural,7,11
723,Female,Urban,33,10
724,Female,Urban,41,14
725,Male,Rural,10,12
726,Female,Rural,11,5
727,Male,Rural,13,6
728,Male,Rural,18,14
729,Female,Rural,17,6
730,Male,Rural,25,5
731,Male,Urban,46,11
732,Female,Urban,37,12
733,Female,Urban,29,5
734,Female,Urban,39,8
735,Female,Rural,18,8
736,Male,Rural,25,12
737,Male,Urban,44,12
738,Female,Rural,9,10
739,Female,Urban,30,9
740,Female,Urban,37,11
741,Male,Urban,30,10
742,Female,Rural,10,19
743,Female,Urban,44,7
744,Female,Rural,6,19
745,Male,Urban,42,9
746,Male,Urban,32,11
747,Male,Urban,38,10
748,Female,Rural,8,18
749,Male,Rural,11,10
750,Male,Urban,47,11
751,Female,Rural,24,6
752,Female,Rural,24,10
753,Female,Urban,40,9
754,Female,Rural,15,6
755,Male,Urban,46,7
756,Male,Rural,11,10
757,Male,Urban,39,17
758,Male,Rural,7,18
759,Male,Rural,11,18
760,Male,Urban,43,5
761,Male,Rural,13,7
762,Male,Rural,14,9
763,Male,Rural,10,5
764,Female,Urban,33,5
765,Female,Urban,33,10
766,Male,Urban,41,10
767,Male,Rural,24,19
768,Female,Urban,45,13
769,Male,Urban,41,12
770,Male,Urban,50,17
771,Male,Rural,25,17
772,Male,Urban,50,14
773,Male,Rural,15,8
774,Male,Rural,15,9
775,Female,Rural,19,15
776,Male,Urban,32,8
777,Male,Rural,24,20
778,Male,Urban,28,14
779,Male,Urban,43,7
780,Male,Urban,31,10
781,Male,Urban,29,14
782,Female,Rural,15,15
783,Male,Urban,26,17
784,Male,Urban,34,7
785,Female,Urban,48,15
786,Male,Urban,37,16
787,Female,Rural,21,8
788,Female,Urban,25,8
789,Male,Rural,23,10
790,Female,Rural,5,12
791,Female,Rural,8,17
792,Male,Urban,35,10
793,Male,Rural,22,11
794,Male,Rural,18,16
795,Female,Rural,17,10
796,Female,Rural,17,19
797,Female,Rural,11,19
798,Male,Urban,27,13
799,Female,Urban,45,8
800,Female,Urban,35,10
801,Male,Rural,12,11
802,Female,Urban,38,16
803,Male,Rural,7,9
804,Male,Rural,18,11
805,Female,Rural,5,18
806,Female,Urban,31,17
807,Male,Urban,36,6
808,Female,Urban,28,5
809,Female,Urban,48,9
810,Male,Rural,21,16
811,Male,Urban,43,5
812,Female,Urban,30,9
813,Male,Urban,34,16
814,Female,Urban,35,19
815,Male,Rural,17,11
816,Female,Rural,5,13
817,Female,Rural,25,10
818,Male,Rural,14,8
819,Female,Rural,14,9
820,Female,Urban,26,10
821,Female,Urban,34,17
822,Female,Urban,37,16
823,Male,Rural,15,6
824,Female,Rural,11,17
825,Female,Rural,19,7
826,Male,Urban,43,11
827,Male,Rural,13,15
828,Female,Urban,50,16
829,Male,Rural,17,9
830,Male,Urban,49,15
831,Male,Urban,36,11
832,Male,Urban,43,5
833,Female,Rural,7,9
834,Male,Rural,21,6
835,Female,Urban,34,14
836,Male,Urban,29,10
837,Female,Urban,50,15
838,Male,Urban,40,19
839,Male,Rural,17,10
840,Male,Urban,25,14
841,Female,Urban,29,20
842,Male,Urban,38,19
843,Male,Rural,12,5
844,Female,Urban,32,14
845,Female,Urban,36,15
846,Female,Rural,8,8
847,Male,Rural,16,8
848,Female,Rural,10,5
849,Male,Urban,35,12
850,Female,Rural,5,14
851,Male,Rural,14,6
852,Female,Rural,6,8
853,Male,Rural,14,19
854,Male,Urban,37,10
855,Male,Urban,31,8
856,Female,Urban,41,10
857,Female,Rural,24,20
858,Male,Urban,41,18
859,Male,Urban,50,8
860,Female,Urban,26,15
861,Female,Urban,31,5
862,Female,Rural,21,9
863,Male,Rural,10,12
864,Female,Rural,8,16
865,Female,Rural,11,7
866,Male,Urban,29,12
867,Female,Urban,44,12
868,Male,Rural,7,20
869,Female,Rural,20,7
870,Male,Urban,46,6
871,Female,Rural,23,10
872,Male,Rural,23,6
873,Male,Rural,23,20
874,Female,Urban,34,12
875,Male,Urban,38,5
876,Female,Rural,7,7
877,Female,Rural,7,14
878,Male,Rural,24,5
879,Male,Urban,30,20
880,Female,Urban,29,5
881,Male,Rural,11,10
882,Male,Rural,20,19
883,Male,Rural,22,8
884,Female,Urban,49,13
885,Male,Rural,14,5
886,Female,Rural,8,10
887,Female,Urban,30,9
888,Male,Urban,33,12
889,Male,Rural,10,15
890,Female,Rural,8,5
891,Female,Rural,18,9
892,Male,Urban,38,15
893,Male,Rural,17,9
894,Male,Urban,27,10
895,Male,Urban,43,7
896,Male,Rural,25,9
897,Male,Rural,19,8
898,Female,Urban,49,10
899,Female,Rural,12,5
900,Female,Urban,25,12
901,Female,Urban,50,20
902,Female,Rural,10,18
903,Male,Rural,15,9
904,Male,Rural,12,13
905,Female,Urban,49,8
906,Female,Urban,28,6
907,Female,Rural,6,5
908,Female,Urban,40,8
909,Male,Urban,41,16
910,Female,Urban,50,17
911,Male,Urban,45,7
912,Male,Rural,12,6
913,Male,Urban,45,13
914,Female,Urban,39,16
915,Female,Rural,6,11
916,Female,Rural,5,16
917,Male,Urban,49,10
918,Male,Rural,19,8
919,Female,Urban,27,11
920,Female,Rural,15,8
921,Female,Urban,45,12
922,Male,Rural,11,10
923,Female,Rural,5,11
924,Male,Urban,27,8
925,Male,Rural,16,7
926,Female,Urban,29,5
927,Male,Urban,29,13
928,Male,Rural,13,13
929,Female,Urban,31,20
930,Male,Urban,48,19
931,Female,Rural,13,19
932,Male,Rural,7,19
933,Male,Urban,45,6
934,Female,Rural,14,20
935,Male,Rural,6,8
936,Male,Urban,25,13
937,Female,Urban,48,10
938,Male,Rural,13,10
939,Female,Rural,8,9
940,Male,Rural,25,10
941,Female,Rural,18,6
942,Female,Rural,23,10
943,Male,Rural,25,6
944,Female,Urban,32,8
945,Male,Rural,24,9
946,Female,Urban,49,18
947,Male,Urban,45,5
948,Female,Urban,38,5
949,Male,Urban,41,14
950,Female,Rural,6,10
951,Male,Urban,44,10
952,Female,Rural,21,9
953,Female,Rural,25,16
954,Female,Urban,45,12
955,Male,Urban,44,9
956,Male,Urban,33,7
957,Male,Urban,28,14
958,Male,Rural,6,8
959,Female,Rural,23,14
960,Female,Rural,12,6
961,Female,Rural,19,9
962,Male,Rural,24,7
963,Female,Rural,10,8
964,Male,Urban,29,8
965,Male,Urban,34,19
966,Male,Urban,26,19
967,Female,Rural,7,13
968,Male,Urban,43,18
969,Male,Urban,49,17
970,Female,Urban,40,8
971,Male,Rural,8,10
972,Male,Rural,6,8
973,Female,Rural,8,16
974,Male,Rural,13,11
975,Female,Urban,44,20
976,Male,Rural,18,6
977,Male,Urban,28,18
978,Male,Urban,25,10
979,Female,Urban,37,7
980,Male,Rural,15,18
981,Female,Urban,32,13
982,Female,Rural,5,7
983,Female,Rural,6,15
984,Male,Urban,37,12
985,Female,Rural,12,6
986,Male,Urban,43,10
987,Female,Rural,17,8
988,Male,Urban,39,8
989,Male,Urban,32,16
990,Male,Urban,31,10
991,Male,Urban,43,5
992,Female,Rural,15,6
993,Female,Rural,14,16
994,Female,Urban,28,9
995,Female,Urban,35,20
996,Female,Rural,7,19
997,Female,Urban,48,7
998,Female,Rural,7,7
999,Male,Rural,22,10
1000,Female,Urban,29,18
1001,Female,Urban,27,6
1002,Female,Urban,40,19
1003,Female,Urban,26,11
1004,Female,Urban,40,13
1005,Female,Rural,14,7
1006,Female,Rural,23,9
1007,Male,Urban,27,12
1008,Female,Rural,24,9
1009,Female,Rural,6,7
1010,Female,Urban,31,20
1011,Male,Rural,14,7
1012,Female,Rural,11,9
1013,Male,Rural,6,11
1014,Male,Urban,44,18
1015,Female,Rural,24,19
1016,Male,Rural,8,10
1017,Female,Urban,34,8
1018,Male,Rural,21,9
1019,Female,Rural,24,9
1020,Female,Rural,24,10
1021,Male,Rural,23,6
1022,Male,Rural,8,15
1023,Male,Rural,7,5
1024,Male,Rural,18,7
1025,Male,Urban,32,7
1026,Female,Rural,13,6
1027,Male,Rural,19,10
1028,Male,Urban,27,17
1029,Female,Rural,7,9
1030,Female,Rural,8,19
1031,Female,Rural,5,7
1032,Male,Rural,5,5
1033,Male,Rural,10,9
1034,Female,Urban,44,5
1035,Female,Urban,40,6
1036,Female,Rural,15,20
1037,Female,Rural,17,7
1038,Female,Rural,10,18
1039,Female,Urban,42,9
1040,Male,Rural,5,19
1041,Female,Urban,28,18
1042,Male,Rural,11,14
1043,Male,Urban,25,6
1044,Female,Rural,9,16
1045,Female,Urban,48,6
1046,Male,Urban,39,5
1047,Male,Urban,45,10
1048,Male,Urban,45,15
1049,Female,Rural,8,10
1050,Male,Rural,5,9
1051,Female,Rural,25,5
1052,Female,Urban,33,9
1053,Male,Urban,32,10
1054,Female,Rural,7,10
1055,Female,Rural,25,7
1056,Female,Rural,19,14
1057,Male,Urban,46,7
1058,Female,Urban,32,16
1059,Female,Urban,48,6
1060,Male,Rural,9,13
1061,Male,Rural,13,17
1062,Male,Urban,32,7
1063,Female,Rural,21,5
1064,Female,Urban,37,15
1065,Male,Rural,25,13
1066,Female,Rural,13,19
1067,Male,Urban,33,10
1068,Male,Rural,6,5
1069,Female,Rural,18,7
1070,Female,Rural,8,8
1071,Female,Urban,32,9
1072,Male,Rural,12,6
1073,Male,Urban,27,15
1074,Female,Rural,10,14
1075,Male,Rural,19,19
1076,Female,Urban,49,8
1077,Male,Rural,24,20
1078,Male,Urban,44,7
1079,Male,Urban,40,7
1080,Female,Rural,10,6
1081,Male,Urban,30,16
1082,Male,Urban,33,14
1083,Female,Urban,38,9
1084,Female,Urban,39,10
1085,Male,Rural,16,9
1086,Female,Urban,25,8
1087,Female,Urban,29,7
1088,Female,Rural,23,10
1089,Male,Urban,44,18
1090,Male,Rural,25,9
1091,,Rural,9,11
1092,Female,Rural,19,8
1093,Female,Rural,16,20
1094,Female,,47,16
1095,Male,Rural,22,15
1096,Female,Rural,17,17
1097,Female,Urban,40,17
1098,Female,Urban,,11
1099,Male,Urban,48,7
1100,Female,Rural,15,8
1101,Male,Rural,10,19
1102,Female,Rural,5,17
1103,Female,Urban,30,
1104,Female,Rural,12,10
1105,Male,Rural,24,8
1106,Male,Urban,48,8
1107,Male,Urban,40,12
1108,Male,Rural,5,7
1109,Female,Urban,33,16
1110,Male,Urban,48,7
1111,Male,Urban,31,16
1112,Male,Urban,50,14
1113,Male,Urban,26,11
